Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1764122353.859038,2003,0,1
1,NewOrder,1764122353.861050,2122,0,1
2,Payment,1764122353.863179,1797,0,1
2,Payment,1764122353.864993,1303,0,1
1,NewOrder,1764122353.866314,2152,0,1
2,Payment,1764122353.868473,1202,0,1
2,Payment,1764122353.869679,1413,0,1
1,NewOrder,1764122353.871104,3230,0,1
1,NewOrder,1764122353.874345,3260,0,1
2,Payment,1764122353.877617,1584,0,1
1,NewOrder,1764122353.879213,3628,0,1
2,Payment,1764122353.882858,2247,0,1
1,NewOrder,1764122353.885127,4420,0,1
5,StockLevel,1764122353.889563,2098,0,1
2,Payment,1764122353.891670,1570,0,1
2,Payment,1764122353.893247,1517,0,1
2,Payment,1764122353.894779,1482,0,1
1,NewOrder,1764122353.896270,5579,0,1
2,Payment,1764122353.901866,1615,0,1
2,Payment,1764122353.903490,2478,0,1
2,Payment,1764122353.905989,2476,0,1
1,NewOrder,1764122353.908479,4850,0,1
1,NewOrder,1764122353.913346,4698,0,1
1,NewOrder,1764122353.918062,4098,0,1
2,Payment,1764122353.922180,1762,0,1
3,OrderStatus,1764122353.923958,784,0,1
1,NewOrder,1764122353.924754,5235,0,1
1,NewOrder,1764122353.930009,3093,0,1
2,Payment,1764122353.933121,1759,0,1
2,Payment,1764122353.934888,1065,0,1
1,NewOrder,1764122353.935957,2995,0,1
2,Payment,1764122353.938973,1841,0,1
5,StockLevel,1764122353.940832,2902,0,1
1,NewOrder,1764122353.943747,3222,0,1
1,NewOrder,1764122353.946980,1967,0,1
1,NewOrder,1764122353.948963,4272,0,1
1,NewOrder,1764122353.953257,4238,0,1
2,Payment,1764122353.957507,2004,0,1
1,NewOrder,1764122353.959532,4451,0,1
1,NewOrder,1764122353.963991,2810,0,1
2,Payment,1764122353.966803,1461,0,1
1,NewOrder,1764122353.968285,3273,0,1
2,Payment,1764122353.971568,1779,0,1
1,NewOrder,1764122353.973350,3555,0,1
1,NewOrder,1764122353.976913,2547,0,1
3,OrderStatus,1764122353.979476,713,0,1
3,OrderStatus,1764122353.980195,537,0,1
5,StockLevel,1764122353.980738,2132,0,1
5,StockLevel,1764122353.982886,2350,0,1
1,NewOrder,1764122353.985251,4361,0,1
1,NewOrder,1764122353.989624,3856,0,1
2,Payment,1764122353.993489,1220,0,1
5,StockLevel,1764122353.994716,1718,0,1
4,Delivery,1764122353.996459,6941,0,1
5,StockLevel,1764122354.003411,2064,0,1
1,NewOrder,1764122354.005481,3696,0,1
3,OrderStatus,1764122354.009183,500,0,1
2,Payment,1764122354.009688,1474,0,1
4,Delivery,1764122354.011167,7005,0,1
1,NewOrder,1764122354.018179,2706,0,1
5,StockLevel,1764122354.020891,2532,0,1
4,Delivery,1764122354.023428,7695,0,1
2,Payment,1764122354.031142,1583,0,1
2,Payment,1764122354.032737,1468,0,1
2,Payment,1764122354.034208,1349,0,1
1,NewOrder,1764122354.035559,3641,0,1
2,Payment,1764122354.039210,1606,0,1
1,NewOrder,1764122354.040820,3645,0,1
2,Payment,1764122354.044472,1448,0,1
1,NewOrder,1764122354.045922,3841,0,1
2,Payment,1764122354.049769,1531,0,1
1,NewOrder,1764122354.051304,2760,0,1
2,Payment,1764122354.054069,1306,0,1
1,NewOrder,1764122354.055381,2909,0,1
1,NewOrder,1764122354.058308,3305,0,1
5,StockLevel,1764122354.061618,1323,0,1
2,Payment,1764122354.062944,1656,0,1
2,Payment,1764122354.064618,2179,0,1
2,Payment,1764122354.066816,1792,0,1
2,Payment,1764122354.068618,1403,0,1
1,NewOrder,1764122354.070034,4168,0,1
2,Payment,1764122354.074221,1552,0,1
1,NewOrder,1764122354.075790,2664,0,1
1,NewOrder,1764122354.078467,2272,0,1
2,Payment,1764122354.080746,1367,0,1
5,StockLevel,1764122354.082118,1140,0,1
2,Payment,1764122354.083262,1186,0,1
2,Payment,1764122354.084455,1380,0,1
1,NewOrder,1764122354.085839,2375,0,1
2,Payment,1764122354.088221,1383,0,1
2,Payment,1764122354.089607,1362,0,1
2,Payment,1764122354.090972,1378,0,1
5,StockLevel,1764122354.092352,1183,0,1
2,Payment,1764122354.093537,1127,0,1
1,NewOrder,1764122354.094666,2890,0,1
2,Payment,1764122354.097564,1577,0,1
4,Delivery,1764122354.099149,8326,0,1
1,NewOrder,1764122354.107498,3434,0,1
2,Payment,1764122354.110943,1573,0,1
2,Payment,1764122354.112519,1198,0,1
1,NewOrder,1764122354.113719,2734,0,1
1,NewOrder,1764122354.116455,5244,0,1
2,Payment,1764122354.121710,3019,0,1
2,Payment,1764122354.124745,1668,0,1
2,Payment,1764122354.126421,1560,0,1
1,NewOrder,1764122354.127986,3437,0,1
1,NewOrder,1764122354.131441,2747,0,1
1,NewOrder,1764122354.134207,2707,0,1
1,NewOrder,1764122354.136924,2946,0,1
1,NewOrder,1764122354.139880,3437,0,1
1,NewOrder,1764122354.143327,2999,0,1
2,Payment,1764122354.146331,1353,0,1
1,NewOrder,1764122354.147708,3173,0,1
1,NewOrder,1764122354.150897,2612,0,1
5,StockLevel,1764122354.153535,1991,0,1
2,Payment,1764122354.155535,2078,0,1
1,NewOrder,1764122354.157634,2936,0,1
